Metric,Valid Pairs (n),Kendall Tau-b,p-value,Significant (alpha=0.05)
Elaboration,200,0.246,5.4843988856975406e-05,Yes
Creativity,200,0.201,0.0009197441553249275,Yes
Authenticity,200,0.179,0.003094889004147401,Yes
Flexibility,200,0.147,0.015303830099697878,Yes
Originality,200,0.146,0.016171274565830555,Yes
Value,200,0.128,0.03465571573214818,Yes
Fluency,200,0.116,0.055765690724512776,No
Novelty,200,0.11,0.06319386310075256,No
Effectiveness,200,0.105,0.08783417621970391,No
Usefulness,200,0.097,0.10458887843168416,No
Surprise,200,0.012,0.836128642022654,No
